event_id,event_category,event_type_raw,began,restored,year,n_counties_affected,n_states_affected,mean_duration_hours,total_customers_affected,max_customers_single_county
Arkansas-7,Physical/Security,Vandalism,2019-10-16 07:00:00,2019-10-16 07:00:00,2019,37,1,2.830769230769231,35701.0,3126.0
Arkansas-8,Weather,Severe Weather/Transmission Interruption,2020-01-11 02:25:00,2020-01-11 07:56:00,2020,66,1,4.827067669172933,145294.0,8388.0
Arkansas-9,Equipment/Operational,Transmission Interruption,2020-06-29 14:32:00,2020-06-29 16:35:00,2020,33,1,2.6302083333333335,26905.0,3558.0
California-0,Physical/Security,Suspected Physical Attack - Vandalism,2014-11-19 14:44:00,2014-11-19 14:45:00,2014,54,1,4.4250805585392055,446395.0,76167.0
California-1,Equipment/Operational,Distribution Interruption - Unknown Cause,2014-12-11 07:21:00,2014-12-11 21:53:00,2014,54,1,4.681631722880583,673355.0,156263.0
California-10,Physical/Security,Vandalism,2015-06-20 13:52:00,2015-06-20 15:30:00,2015,57,1,4.134022708840227,899588.0,89427.0
California-11,Weather,Severe Weather,2015-06-30 10:50:00,2015-07-01 21:00:00,2015,54,1,3.7645569620253165,535205.0,40754.0
California-12,Weather,Severe Weather,2015-06-30 14:00:00,2015-06-30 21:00:00,2015,56,1,3.374340770791075,1485408.0,122875.0
California-13,Physical/Security,Suspicious Activity ,2015-07-03 08:30:00,2015-07-03 14:30:00,2015,53,1,4.688687392055268,476537.0,78121.0
California-14,Equipment/Operational,System Operations,2015-07-15 02:00:00,2015-07-15 02:55:00,2015,52,1,4.263412017167382,595391.0,106947.0
California-15,Equipment/Operational,System Operations,2015-07-18 18:26:00,2015-07-18 21:03:00,2015,55,1,3.683748169838946,477509.0,51898.0
California-16,Weather,Severe Weather,2015-07-18 19:59:00,2015-07-18 22:45:00,2015,56,1,4.397009029345372,985703.0,348829.0
California-17,Equipment/Operational,System Operations,2015-07-27 03:52:00,2015-07-27 04:36:00,2015,58,1,3.6004050925925926,401281.0,30341.0
California-18,Equipment/Operational,System Operations,2015-09-20 13:12:00,2015-09-20 13:44:00,2015,54,1,4.922364672364672,547919.0,68549.0
California-19,Other/Unknown,Other,2015-10-13 16:32:00,2015-10-13 20:39:00,2015,55,1,3.9439066059225514,426214.0,30341.0
California-2,Equipment/Operational,System Operations,2015-03-26 15:21:00,2015-03-26 16:59:00,2015,54,1,3.437289088863892,362076.0,55472.0
California-20,Weather,Severe Weather,2015-10-18 07:00:00,2015-10-18 23:29:00,2015,54,1,3.538704128440367,201713.0,14355.0
California-21,Weather,Severe Weather,2015-12-10 06:01:00,2015-12-10 07:13:00,2015,54,1,3.683524734982332,313106.0,27924.0
California-22,Weather,Severe Weather,2015-12-10 03:53:00,2015-12-10 04:08:00,2015,54,1,3.463105303612606,611893.0,65760.0
